Position,Track Name,Artist,Streams,URL
95,All Girls Are The Same,Juice WRLD,381050,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
96,Goodbyes (Feat. Young Thug),Post Malone,378354,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
97,ORANGE SODA,Baby Keem,376910,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
98,MIDDLE CHILD,J. Cole,376764,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
99,223's (feat. 9lokknine),YNW Melly,371222,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
100,Watermelon Sugar,Harry Styles,358172,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,when the party's over,Billie Eilish,357982,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
102,We Should (feat. Young Thug),Lil Baby,355019,https://open.spotify.com/track/5ixKkLQSriCQakDWbdW8qD
103,What A Man Gotta Do,Jonas Brothers,352394,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
104,Feel Me,Selena Gomez,348284,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
105,Drip Too Hard (Lil Baby & Gunna),Lil Baby,347483,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
106,ON,BTS,347044,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
107,Someone Said,Swae Lee,342834,https://open.spotify.com/track/5awaEIMiJboRO7ycF6UOot
108,Going Bad (feat. Drake),Meek Mill,339063,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
109,If The World Was Ending (feat. Julia Michaels),JP Saxe,338429,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
110,Baby (Lil Baby feat. DaBaby),Quality Control,338271,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
111,No Guidance (feat. Drake),Chris Brown,336653,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
112,Lottery (Renegade),K CAMP,336451,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
113,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,335713,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
114,Murder On My Mind,YNW Melly,334272,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
115,Pop Out (feat. Lil Tjay),Polo G,334206,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
116,Before You Go,Lewis Capaldi,332962,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
117,lovely (with Khalid),Billie Eilish,331538,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
118,Camelot,NLE Choppa,329948,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
119,Señorita,Shawn Mendes,326186,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
120,Callaita,Bad Bunny,322920,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
121,SICKO MODE,Travis Scott,320308,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
122,LA CANCIÓN,J Balvin,317731,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
123,SAD!,XXXTENTACION,315716,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
124,Physical,Dua Lipa,314021,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
125,Jocelyn Flores,XXXTENTACION,313500,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
126,EARFQUAKE,Tyler The Creator,313495,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
127,Falling,Harry Styles,311223,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
128,rockstar (feat. 21 Savage),Post Malone,310003,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
129,Stuck In A Dream (feat. Gunna),Lil Mosey,309407,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
130,Dior,Pop Smoke,307799,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
131,Start Wit Me (feat. Gunna),Roddy Ricch,303244,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
132,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,301940,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
133,One Man Band,Old Dominion,301292,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
134,Hate Me (with Juice WRLD),Ellie Goulding,300824,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
135,SLOW DANCING IN THE DARK,Joji,300733,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
136,Whiskey Glasses,Morgan Wallen,300055,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
